"","DATA_YEAR","FIPS_CODE","BRIDGE_ID","YEAR_BUILT","YEAR_RECONSTRCUTED","AVERAGE_DAILY_TRAFFIC","YEAR_ADT","FUTURE_ADT","DECK_COND","SUPERSTRUCTURE_COND","CHANNEL_COND","CULVERT_COND","OPERATING_RATING","INVENTORY_RATING"
"10679",2019,55,"B68008600000000",1998,0,9654,2015,10619,"7","7","8","N",67,40.5
"10680",2019,55,"B68008700000000",1998,0,10,2015,11,"8","8","8","N",68.6,40.5
"10681",2019,55,"B68008800000000",1998,0,1400,2015,1950,"7","7","8","N",60.4,35.6
"10682",2019,55,"B68008900000000",2000,0,19200,2018,15400,"7","8","8","N",57.2,32.4
"10683",2019,55,"B68009000000000",2000,0,15800,2016,15400,"7","8","8","N",57.2,32.4
"10684",2019,55,"B68009100000000",1999,0,4700,2016,5190,"7","8","N","N",52.3,35.6
"10685",2019,55,"B68009200000000",1999,0,16500,2015,16500,"7","7","N","N",57.2,37.3
"10686",2019,55,"B68009300000000",1999,0,8300,2016,16500,"7","7","N","N",57.2,37.3
"10687",2019,55,"B68009400000000",1999,0,16500,2015,14000,"7","7","N","N",71.8,42.1
"10688",2019,55,"B68009500000000",1999,0,16500,2015,14000,"7","7","N","N",71.8,42.1
"10689",2019,55,"B68009600000000",2000,0,15600,2015,15400,"7","7","N","N",60.4,30.8
"10690",2019,55,"B68009700000000",2000,0,16500,2015,15400,"7","7","N","N",60.4,30.8
"10691",2019,55,"B68009800000000",2003,0,16500,2015,16200,"7","7","N","N",71.8,37.3
"10692",2019,55,"B68009900000000",2003,0,16500,2015,16200,"7","7","N","N",71.8,35.6
"10693",2019,55,"B68010000000000",1999,0,3500,2016,12660,"7","7","8","N",60.4,35.6
"10694",2019,55,"B68010100000000",1999,0,3500,2016,11435,"7","7","8","N",60.4,35.6
"10695",2019,55,"B68010200000000",2002,0,6800,2016,13400,"6","6","8","N",73.5,43.7
"10696",2019,55,"B68010300000000",2002,0,6800,2016,13400,"7","7","8","N",73.5,43.7
"10697",2019,55,"B68010400000000",2001,0,8700,2015,15400,"7","6","N","N",83.3,42.1
"10698",2019,55,"B68010500000000",1999,0,8800,2015,15400,"7","7","N","N",93.1,42.1
"10699",2019,55,"B68010600000000",2001,0,321,2015,353,"7","7","8","N",71.8,34
"10700",2019,55,"B68010700000000",2001,0,271,2015,298,"8","8","8","N",58.8,35.6
"10701",2019,55,"B68010800000000",2000,0,422,2015,464,"7","7","8","N",58.8,34
"10702",2019,55,"B68010900000000",2003,0,16500,2015,16200,"7","7","N","N",71.8,38.9
"10703",2019,55,"B68011000000000",2003,0,8800,2015,16200,"7","7","N","N",71.8,38.9
"10704",2019,55,"B68011100000000",2001,0,364,2015,400,"8","8","8","N",58.8,34
"10705",2019,55,"B68011200000000",2001,0,5900,2015,3750,"7","8","N","N",52.3,34
"10706",2019,55,"B68011300000000",2000,0,3332,2015,3665,"8","8","8","N",60.4,35.6
"10707",2019,55,"B68011400000000",2000,0,2259,2015,2484,"8","8","8","N",63.7,32.4
"10708",2019,55,"B68011500000000",2002,0,6600,2015,9000,"7","7","8","N",70.2,42.1
"10709",2019,55,"B68011600000000",2003,0,16300,2016,16200,"N","N","7","6",53.9,32.4
"10710",2019,55,"B68011700000000",2003,0,4200,2015,13000,"7","7","8","N",78.4,45.4
"10711",2019,55,"B68011800000000",2004,0,12859,2015,14144,"8","8","8","N",73.5,43.7
"10712",2019,55,"B68011900000000",2004,0,840,2016,880,"7","7","8","N",62.1,37.3
"10713",2019,55,"B68012000000000",2004,0,1500,2015,1400,"7","7","8","N",65.3,38.9
"10714",2019,55,"B68012100000000",2004,0,5100,2018,9800,"7","7","N","N",71.8,38.9
